Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume,class,date,hours,weekday
2016-12-11 11:00:00,1083,3,NB_OS,1,North,532.0,0,,14999,14,1,857,0,12,0,0.0,0,2016-12-11,11:00:00,7
2016-12-11 12:00:00,1083,3,NB_OS,1,North,583.0,0,,10188,10,0,1098,1,11,0,5.0,0,2016-12-11,12:00:00,7
2016-12-11 13:00:00,1083,3,NB_OS,1,North,553.0,0,,8215,25,1,1032,1,24,3,7.0,0,2016-12-11,13:00:00,7
2016-12-11 14:00:00,1083,3,NB_OS,1,North,556.0,0,,16231,9,2,547,2,5,0,0.0,1,2016-12-11,14:00:00,7
2016-12-11 15:00:00,1083,3,NB_OS,1,North,517.0,0,,16304,12,1,508,0,6,0,2.0,0,2016-12-11,15:00:00,7
2016-12-11 16:00:00,1083,3,NB_OS,1,North,419.0,0,,14724,26,1,405,1,11,0,1.0,0,2016-12-11,16:00:00,7
2016-12-11 17:00:00,1083,3,NB_OS,1,North,391.0,0,,13659,26,1,379,0,10,0,1.0,0,2016-12-11,17:00:00,7
2016-12-11 18:00:00,1083,3,NB_OS,1,North,345.0,0,,17014,6,2,341,0,2,0,0.0,0,2016-12-11,18:00:00,7
2016-12-11 19:00:00,1083,3,NB_OS,1,North,266.0,0,,17229,8,0,264,0,2,0,0.0,0,2016-12-11,19:00:00,7
2016-12-11 20:00:00,1083,3,NB_OS,1,North,189.0,0,,17481,16,0,186,0,3,0,0.0,0,2016-12-11,20:00:00,7
2016-12-11 21:00:00,1083,3,NB_OS,1,North,136.0,0,,17328,7,1,133,1,1,0,0.0,0,2016-12-11,21:00:00,7
2016-12-11 22:00:00,1083,3,NB_OS,1,North,99.0,0,,18302,0,0,99,0,0,0,0.0,0,2016-12-11,22:00:00,7
2016-12-11 23:00:00,1083,3,NB_OS,1,North,49.0,0,,17778,0,0,49,0,0,0,0.0,0,2016-12-11,23:00:00,7
2016-12-26 00:00:00,1083,3,NB_OS,1,North,32.0,16,Holiday,17639,0,0,32,0,0,0,0.0,0,2016-12-26,00:00:00,1
2016-12-26 01:00:00,1083,3,NB_OS,1,North,27.0,16,Holiday,17490,0,0,27,0,0,0,0.0,0,2016-12-26,01:00:00,1
2016-12-26 02:00:00,1083,3,NB_OS,1,North,13.0,16,Holiday,17180,0,0,13,0,0,0,0.0,0,2016-12-26,02:00:00,1
2016-12-26 03:00:00,1083,3,NB_OS,1,North,3.0,16,Holiday,16111,0,0,3,0,0,0,0.0,0,2016-12-26,03:00:00,1
2016-12-26 04:00:00,1083,3,NB_OS,1,North,4.0,16,Holiday,17847,0,0,4,0,0,0,0.0,0,2016-12-26,04:00:00,1
2016-12-26 05:00:00,1083,3,NB_OS,1,North,10.0,16,Holiday,17834,0,0,10,0,0,0,0.0,0,2016-12-26,05:00:00,1
2016-12-26 06:00:00,1083,3,NB_OS,1,North,30.0,16,Holiday,17639,0,0,30,0,0,0,0.0,0,2016-12-26,06:00:00,1
2016-12-26 07:00:00,1083,3,NB_OS,1,North,60.0,16,Holiday,17718,17,0,59,0,1,0,0.0,0,2016-12-26,07:00:00,1
2016-12-26 08:00:00,1083,3,NB_OS,1,North,83.0,16,Holiday,17684,12,0,82,0,1,0,0.0,0,2016-12-26,08:00:00,1
2016-12-26 09:00:00,1083,3,NB_OS,1,North,161.0,16,Holiday,17562,12,1,158,0,2,0,0.0,0,2016-12-26,09:00:00,1
2016-12-26 10:00:00,1083,3,NB_OS,1,North,273.0,16,Holiday,17078,0,0,273,0,0,0,0.0,0,2016-12-26,10:00:00,1
2016-12-26 11:00:00,1083,3,NB_OS,1,North,466.0,16,Holiday,17034,6,0,462,0,3,0,1.0,0,2016-12-26,11:00:00,1
2016-12-26 12:00:00,1083,3,NB_OS,1,North,712.0,16,Holiday,15917,10,1,704,0,7,0,0.0,0,2016-12-26,12:00:00,1
2016-12-26 13:00:00,1083,3,NB_OS,1,North,553.0,16,Holiday,12879,10,2,1044,0,11,0,0.0,0,2016-12-26,13:00:00,1
2016-12-26 14:00:00,1083,3,NB_OS,1,North,539.5,16,Holiday,14292,11,1,744,0,8,0,0.0,0,2016-12-26,14:00:00,1
2016-12-26 15:00:00,1083,3,NB_OS,1,North,337.0,16,Holiday,17198,3,1,334,0,1,0,1.0,1,2016-12-26,15:00:00,1
2016-12-26 16:00:00,1083,3,NB_OS,1,North,329.0,16,Holiday,17200,3,1,327,0,1,0,0.0,0,2016-12-26,16:00:00,1
2016-12-26 17:00:00,1083,3,NB_OS,1,North,290.0,16,Holiday,16262,3,1,288,0,1,0,0.0,0,2016-12-26,17:00:00,1
2016-12-26 18:00:00,1083,3,NB_OS,1,North,302.0,16,Holiday,17167,0,1,301,0,0,0,0.0,0,2016-12-26,18:00:00,1
2016-12-26 19:00:00,1083,3,NB_OS,1,North,222.0,16,Holiday,17610,9,0,220,0,2,0,0.0,0,2016-12-26,19:00:00,1
2016-12-26 20:00:00,1083,3,NB_OS,1,North,206.0,16,Holiday,17182,15,0,203,0,3,0,0.0,0,2016-12-26,20:00:00,1
2016-12-26 21:00:00,1083,3,NB_OS,1,North,142.0,16,Holiday,17662,7,0,141,0,1,0,0.0,0,2016-12-26,21:00:00,1
2016-12-26 22:00:00,1083,3,NB_OS,1,North,107.0,16,Holiday,17869,9,0,106,0,1,0,0.0,0,2016-12-26,22:00:00,1
2016-12-26 23:00:00,1083,3,NB_OS,1,North,62.0,16,Holiday,18096,32,0,60,0,2,0,0.0,0,2016-12-26,23:00:00,1
2016-12-31 00:00:00,1083,3,NB_OS,1,North,58.0,0,,18774,0,0,58,0,0,0,0.0,0,2016-12-31,00:00:00,6
2016-12-31 01:00:00,1083,3,NB_OS,1,North,30.0,0,,17583,0,0,30,0,0,0,0.0,0,2016-12-31,01:00:00,6
2016-12-31 02:00:00,1083,3,NB_OS,1,North,19.0,0,,18728,0,0,19,0,0,0,0.0,0,2016-12-31,02:00:00,6
2016-12-31 03:00:00,1083,3,NB_OS,1,North,17.0,0,,18595,0,0,17,0,0,0,0.0,0,2016-12-31,03:00:00,6
2016-12-31 04:00:00,1083,3,NB_OS,1,North,14.0,0,,18314,0,0,14,0,0,0,0.0,0,2016-12-31,04:00:00,6
2016-12-31 05:00:00,1083,3,NB_OS,1,North,19.0,0,,18363,0,0,19,0,0,0,0.0,0,2016-12-31,05:00:00,6
2016-12-31 06:00:00,1083,3,NB_OS,1,North,59.0,0,,17665,0,0,59,0,0,0,0.0,0,2016-12-31,06:00:00,6
2016-12-31 07:00:00,1083,3,NB_OS,1,North,94.0,0,,17751,21,0,92,0,2,0,0.0,0,2016-12-31,07:00:00,6
2016-12-31 08:00:00,1083,3,NB_OS,1,North,229.0,0,,17012,22,3,221,0,5,0,0.0,0,2016-12-31,08:00:00,6
